100.000	100.000	87.500	71.875	42.969	23.828	12.695	6.641	3.467	1.758	0.891	0.452	0.229	0.116	
100.000	100.000	100.000	96.875	77.344	50.781	30.664	17.188	9.473	5.103	2.661	1.373	0.708	0.362	
100.000	100.000	100.000	100.000	95.312	82.812	63.867	42.480	25.830	14.380	7.703	4.028	2.097	1.086	
100.000	100.000	100.000	100.000	100.000	99.219	93.164	71.484	47.021	28.101	15.771	8.563	4.608	2.461	
100.000	100.000	100.000	100.000	100.000	100.000	98.242	89.648	72.607	49.854	30.945	18.054	9.909	5.341	
100.000	100.000	100.000	100.000	100.000	100.000	100.000	99.805	94.727	77.954	53.906	33.063	19.098	10.628	
100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	99.219	92.920	77.002	54.327	34.161	20.103	
100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	99.609	94.092	79.083	57.642	37.447	
100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	99.780	95.557	81.992	60.524	
100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	99.951	97.827	86.694	
100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	99.829	98.828	93.802	
100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	
